1.25812	0.272767	0.458256	
1.2625	0.274006	0.456186	
1.25651	0.272834	0.451246	
1.2565	0.27194	0.446028	
1.24884	0.27003	0.438531	
1.24845	0.269426	0.433585	
1.24564	0.268196	0.429591	
1.24431	0.267784	0.42934	
1.24217	0.266405	0.429047	
1.24049	0.265862	0.429815	
1.22977	0.264414	0.427677	
1.2318	0.265004	0.42516	
1.23321	0.266239	0.422879	
1.23786	0.267701	0.421505	
1.23964	0.269371	0.420434	
1.23128	0.269073	0.417613	
1.23555	0.270043	0.417845	
1.23537	0.270646	0.417615	
1.21817	0.268532	0.41676	
1.21842	0.269721	0.419236	
1.20873	0.269367	0.421293	
1.19946	0.268805	0.422606	
1.20683	0.271463	0.426418	
1.19528	0.272071	0.426338	
1.27788	0.289751	0.440813	
1.27586	0.289373	0.44457	
1.26335	0.28659	0.444912	
1.25516	0.28474	0.445476	
1.25609	0.284634	0.448339	
1.25309	0.283237	0.449747	
1.25003	0.281247	0.45133	
1.24361	0.279008	0.4538	
1.2358	0.276644	0.453609	
1.23224	0.275077	0.452418	
1.22692	0.27337	0.44936	
1.23253	0.273023	0.444742	
1.22021	0.26991	0.438017	
1.21595	0.268281	0.434494	
1.22168	0.269162	0.432907	
1.21658	0.26934	0.430052	
1.21109	0.268878	0.428491	
1.20484	0.268367	0.426199	
1.20417	0.26894	0.425652	
1.20481	0.269907	0.423317	
1.20034	0.269794	0.419855	
1.19418	0.269452	0.419338	
1.19439	0.270473	0.420284	
1.19539	0.272605	0.421078	
1.18568	0.274676	0.419626	
1.27337	0.293379	0.428971	
